Date / Time;25/05/2023 15:14;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6B;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-21.6;NaN;0;18.8;NaN;NaN
1.5;215.3;NaN;69;18.9;1.5;236.9
1.525;217.9;NaN;285;18.8;0.025;2.6
1.55;219.8;NaN;300;18.8;0.025;1.9
1.575;221.6;NaN;318;18.8;0.025;1.8
1.6;223.2;68;333;18.8;0.025;1.6
1.625;224.9;60.2;348;18.8;0.025;1.7
1.65;226.4;58.1;365;18.8;0.025;1.5
1.675;227.7;NaN;381;18.8;0.025;1.3
1.7;229.1;NaN;396;18.8;0.025;1.4
1.725;230.4;NaN;411;18.8;0.025;1.3
1.75;231.6;NaN;426;18.8;0.025;1.2
1.775;232.8;NaN;441;18.8;0.025;1.2
