Date / Time;25/05/2023 18:01;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-29.4;NaN;0;20;NaN;NaN
1.3;178.1;NaN;70;19.8;1.3;207.5
1.325;184.7;NaN;298;19.2;0.025;6.6
1.35;190.8;NaN;329;19.2;0.025;6.1
1.375;195.8;NaN;354;19.1;0.025;5
1.4;200.2;172.74;377;19.1;0.025;4.4
1.425;203.7;137.73;399;19.1;0.025;3.5
1.45;207;120.15;424;19.1;0.025;3.3
1.475;209.8;108.31;442;19;0.025;2.8
1.5;212.4;98.65;458;19;0.025;2.6
1.525;214.8;90.82;479;19;0.025;2.4
1.55;217;83;499;19;0.025;2.2
1.575;219;76.2;518;19;0.025;2
1.6;220.8;70.66;533;19;0.025;1.8
1.625;222.5;66.28;548;19;0.025;1.7
1.65;224.1;62.89;563;19;0.025;1.6
1.675;225.6;59.76;578;19;0.025;1.5
1.7;227.2;NaN;593;19;0.025;1.6
1.725;228.5;NaN;609;19;0.025;1.3
1.75;229.8;NaN;624;18.9;0.025;1.3
1.775;231;NaN;639;18.9;0.025;1.2
1.8;232.2;NaN;654;18.9;0.025;1.2
