Date / Time;26/05/2023 11:05;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1b;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-36.9;NaN;0;20.6;NaN;NaN
1.500;209.0;NaN;71;20.1;1.500;245.9
1.525;211.6;NaN;287;19.2;0.025;2.6
1.550;214.0;NaN;304;19.2;0.025;2.4
1.575;216.1;NaN;319;19.2;0.025;2.1
1.600;218.2;80.10;334;19.1;0.025;2.1
1.625;220.1;72.68;350;19.1;0.025;1.9
1.650;221.8;68.27;365;19.1;0.025;1.7
1.675;223.4;64.40;380;19.0;0.025;1.6
1.700;225.1;60.33;395;19.0;0.025;1.7
1.725;226.5;56.90;410;19.0;0.025;1.4
1.750;227.9;NaN;425;19.0;0.025;1.4
1.775;229.2;NaN;441;19.0;0.025;1.3
1.800;230.4;NaN;456;19.0;0.025;1.2
1.825;231.6;NaN;471;18.9;0.025;1.2
1.850;232.8;NaN;486;18.9;0.025;1.2
