Date / Time;26/05/2023 12:58;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2b;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-48.2;NaN;0;20.0;NaN;NaN
1.500;216.7;NaN;59;19.8;1.500;264.9
1.525;218.9;NaN;275;19.1;0.025;2.2
1.550;220.9;NaN;290;19.1;0.025;2.0
1.575;222.6;NaN;305;19.1;0.025;1.7
1.600;224.3;67.24;320;19.1;0.025;1.7
1.625;225.9;61.91;336;19.1;0.025;1.6
1.650;227.5;NaN;351;19.0;0.025;1.6
1.675;228.9;NaN;366;19.0;0.025;1.4
1.700;230.2;NaN;382;19.0;0.025;1.3
1.725;231.5;NaN;397;19.0;0.025;1.3
1.750;232.7;NaN;412;19.0;0.025;1.2
