Date / Time;26/05/2023 12:19;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6a;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-52.7;NaN;0;19.1;NaN;NaN
1.500;210.6;NaN;59;19.1;1.500;263.3
1.525;213.6;NaN;275;18.9;0.025;3.0
1.550;215.9;NaN;290;18.9;0.025;2.3
1.575;218.0;NaN;305;18.9;0.025;2.1
1.600;219.9;78.28;320;18.9;0.025;1.9
1.625;221.7;68.35;335;18.9;0.025;1.8
1.650;223.4;64.91;350;18.9;0.025;1.7
1.675;225.0;60.89;366;18.9;0.025;1.6
1.700;226.4;57.14;381;18.9;0.025;1.4
1.725;227.9;NaN;396;18.9;0.025;1.5
1.750;229.1;NaN;411;18.9;0.025;1.2
1.775;230.4;NaN;426;18.8;0.025;1.3
1.800;231.6;NaN;441;18.8;0.025;1.2
1.825;232.8;NaN;457;18.8;0.025;1.2
