Date / Time;26/05/2023 12:27;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6b;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-55.0;NaN;0;19.6;NaN;NaN
1.500;216.9;NaN;58;19.5;1.500;271.9
1.525;219.2;NaN;274;19.1;0.025;2.3
1.550;221.0;NaN;289;19.0;0.025;1.8
1.575;222.8;NaN;304;19.0;0.025;1.8
1.600;224.4;65.57;319;19.0;0.025;1.6
1.625;226.0;59.70;334;19.0;0.025;1.6
1.650;227.5;NaN;349;19.0;0.025;1.5
1.675;228.8;NaN;365;19.0;0.025;1.3
1.700;230.1;NaN;380;19.0;0.025;1.3
1.725;231.4;NaN;395;18.9;0.025;1.3
1.750;232.5;NaN;410;18.9;0.025;1.1
