Date / Time;11/05/2023 12:07;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-18.8;NaN;0;21.1;NaN;NaN
1.5;196.9;NaN;66;21;1.5;215.7
1.525;200.9;NaN;282;20.6;0.025;4
1.55;204.1;NaN;299;20.6;0.025;3.2
1.575;207;NaN;317;20.6;0.025;2.9
1.6;209.6;105.46;332;20.6;0.025;2.6
1.625;212;90.47;348;20.6;0.025;2.4
1.65;214.2;84.2;364;20.6;0.025;2.2
1.675;216.2;78.03;379;20.6;0.025;2
1.7;218.1;72.9;394;20.6;0.025;1.9
1.725;219.9;68.5;410;20.6;0.025;1.8
1.75;221.5;64.74;425;20.6;0.025;1.6
1.775;223.1;60.97;440;20.5;0.025;1.6
1.8;224.6;57.35;455;20.5;0.025;1.5
1.825;226;53.94;470;20.5;0.025;1.4
1.85;227.3;50.73;485;20.5;0.025;1.3
1.875;228.5;NaN;500;20.5;0.025;1.2
1.9;229.7;NaN;516;20.5;0.025;1.2
1.925;230.8;NaN;531;20.5;0.025;1.1
1.95;231.9;NaN;546;20.5;0.025;1.1
1.975;233;NaN;561;20.5;0.025;1.1
