Date / Time;11/05/2023 12:29;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-17.7;NaN;0;21.3;NaN;NaN
1.5;196.3;NaN;72;21.1;1.5;214
1.525;200.1;NaN;296;20.7;0.025;3.8
1.55;203.5;NaN;315;20.7;0.025;3.4
1.575;206.4;NaN;337;20.7;0.025;2.9
1.6;209.1;107.54;355;20.7;0.025;2.7
1.625;211.6;93.32;376;20.7;0.025;2.5
1.65;213.8;85.97;399;20.7;0.025;2.2
1.675;215.9;79.87;418;20.6;0.025;2.1
1.7;217.8;74.49;433;20.6;0.025;1.9
1.725;219.6;69.48;452;20.6;0.025;1.8
1.75;221.3;65.35;470;20.6;0.025;1.7
1.775;222.9;61.14;485;20.6;0.025;1.6
1.8;224.4;57.3;500;20.6;0.025;1.5
1.825;225.7;53.93;515;20.6;0.025;1.3
1.85;227.1;51.37;531;20.6;0.025;1.4
1.875;228.3;NaN;546;20.6;0.025;1.2
1.9;229.5;NaN;561;20.6;0.025;1.2
1.925;230.7;NaN;576;20.6;0.025;1.2
1.95;231.8;NaN;591;20.6;0.025;1.1
1.975;232.8;NaN;606;20.6;0.025;1
