Date / Time;11/05/2023 12:55;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-21.2;NaN;0;22.1;NaN;NaN
1.5;210.6;NaN;62;21.7;1.5;231.8
1.525;213.5;NaN;278;21;0.025;2.9
1.55;215.8;NaN;293;20.9;0.025;2.3
1.575;217.9;NaN;308;20.9;0.025;2.1
1.6;219.8;78.25;323;20.9;0.025;1.9
1.625;221.7;68.53;338;20.9;0.025;1.9
1.65;223.3;65.06;353;20.8;0.025;1.6
1.675;224.9;61.55;369;20.8;0.025;1.6
1.7;226.4;58.56;384;20.8;0.025;1.5
1.725;227.8;NaN;399;20.8;0.025;1.4
1.75;229.2;NaN;414;20.8;0.025;1.4
1.775;230.5;NaN;429;20.8;0.025;1.3
1.8;231.7;NaN;444;20.7;0.025;1.2
1.825;232.8;NaN;460;20.7;0.025;1.1
