Date / Time;11/05/2023 16:54;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;¡C;mL;mV
0;-48.7;NaN;0;22.2;NaN;NaN
1.5;209.2;NaN;62;21.9;1.5;257.9
1.525;211.9;NaN;282;21;0.025;2.7
1.55;214.4;NaN;297;21;0.025;2.5
1.575;216.9;NaN;312;21;0.025;2.5
1.6;219.2;85.96;329;21;0.025;2.3
1.625;221;77.65;344;20.9;0.025;1.8
1.65;222.9;72.17;359;20.9;0.025;1.9
1.675;224.7;67.45;375;20.9;0.025;1.8
1.7;226.3;NaN;390;20.9;0.025;1.6
1.725;227.9;NaN;405;20.9;0.025;1.6
1.75;229.4;NaN;420;20.8;0.025;1.5
1.775;230.7;NaN;435;20.8;0.025;1.3
1.8;232;NaN;450;20.8;0.025;1.3
