Date / Time;11/05/2023 17:33;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-50.5;NaN;0;22.8;NaN;NaN
1.5;202.7;NaN;53;22.3;1.5;253.2
1.525;205.7;NaN;269;21.3;0.025;3
1.55;209.1;NaN;284;21.2;0.025;3.4
1.575;212;NaN;299;21.2;0.025;2.9
1.6;214.6;102.24;314;21.1;0.025;2.6
1.625;216.9;91.38;329;21.1;0.025;2.3
1.65;219.1;81.89;344;21.1;0.025;2.2
1.675;221;76.25;360;21;0.025;1.9
1.7;223;69.68;375;21;0.025;2
1.725;224.6;66.86;390;21;0.025;1.6
1.75;226.2;NaN;405;21;0.025;1.6
1.775;227.8;NaN;420;20.9;0.025;1.6
1.8;229.2;NaN;435;20.9;0.025;1.4
1.825;231.2;NaN;452;20.9;0.025;2
1.85;232.4;NaN;467;20.9;0.025;1.2
