Date / Time;11/05/2023 15:16;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE3b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-27.1;NaN;0;20.8;NaN;NaN
1.5;211.8;NaN;63;20.8;1.5;238.9
1.525;214.6;NaN;285;20.7;0.025;2.8
1.55;216.8;NaN;300;20.7;0.025;2.2
1.575;219;NaN;315;20.7;0.025;2.2
1.6;221;79.16;330;20.6;0.025;2
1.625;222.8;71.08;346;20.6;0.025;1.8
1.65;224.6;67.55;361;20.6;0.025;1.8
1.675;226.1;63.05;376;20.6;0.025;1.5
1.7;227.7;NaN;391;20.6;0.025;1.6
1.725;229.3;NaN;406;20.6;0.025;1.6
1.75;230.5;NaN;422;20.6;0.025;1.2
1.775;231.8;NaN;437;20.6;0.025;1.3
1.8;233.1;NaN;452;20.6;0.025;1.3
