Date / Time;11/05/2023 17:22;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6d;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-42.7;NaN;0;22.8;NaN;NaN
1.5;216;NaN;49;22.4;1.5;258.7
1.525;218.2;NaN;265;21.2;0.025;2.2
1.55;220.3;NaN;280;21.2;0.025;2.1
1.575;222.3;NaN;295;21.1;0.025;2
1.6;224.1;70.99;310;21.1;0.025;1.8
1.625;225.7;64.91;325;21.1;0.025;1.6
1.65;227.3;NaN;340;21;0.025;1.6
1.675;228.8;NaN;356;21;0.025;1.5
1.7;230.2;NaN;371;21;0.025;1.4
1.725;231.5;NaN;386;20.9;0.025;1.3
1.75;232.8;NaN;401;20.9;0.025;1.3
