Date / Time;11/05/2023 17:56;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-52.7;NaN;0;21.4;NaN;NaN
1.5;195.2;NaN;58;21.3;1.5;247.9
1.525;199.5;NaN;276;20.8;0.025;4.3
1.55;203.5;NaN;295;20.8;0.025;4
1.575;207;NaN;317;20.8;0.025;3.5
1.6;210.2;123.41;336;20.8;0.025;3.2
1.625;213;105.52;358;20.8;0.025;2.8
1.65;215.4;94;377;20.7;0.025;2.4
1.675;217.6;86.02;397;20.7;0.025;2.2
1.7;219.8;78.94;415;20.7;0.025;2.2
1.725;221.6;74.01;430;20.7;0.025;1.8
1.75;223.4;69.16;445;20.7;0.025;1.8
1.775;225.2;64.47;461;20.7;0.025;1.8
1.8;226.6;NaN;477;20.7;0.025;1.4
1.825;228.2;NaN;492;20.7;0.025;1.6
1.85;229.5;NaN;507;20.7;0.025;1.3
1.875;230.9;NaN;522;20.7;0.025;1.4
1.9;232.2;NaN;538;20.7;0.025;1.3
