Date / Time;12/05/2023 12:15;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-51.3;NaN;0;22;NaN;NaN
1.5;201.9;NaN;51;21.7;1.5;253.2
1.525;205.6;NaN;268;20.9;0.025;3.7
1.55;208.7;NaN;283;20.8;0.025;3.1
1.575;211.8;NaN;299;20.8;0.025;3.1
1.6;214.3;104.9;314;20.8;0.025;2.5
1.625;216.7;92.22;330;20.8;0.025;2.4
1.65;219;84.64;345;20.8;0.025;2.3
1.675;221;77.8;360;20.7;0.025;2
1.7;222.9;72.52;377;20.7;0.025;1.9
1.725;224.6;67.06;392;20.7;0.025;1.7
1.75;226.2;62.91;408;20.7;0.025;1.6
1.775;227.8;NaN;423;20.7;0.025;1.6
1.8;229.2;NaN;438;20.7;0.025;1.4
1.825;230.6;NaN;453;20.7;0.025;1.4
1.85;231.9;NaN;468;20.6;0.025;1.3
1.875;233.1;NaN;484;20.6;0.025;1.2
