Date / Time;12/05/2023 12:25;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-51.4;NaN;0;22.2;NaN;NaN
1.5;210.1;NaN;41;21.9;1.5;261.5
1.525;213.1;NaN;258;21;0.025;3
1.55;215.6;NaN;273;20.9;0.025;2.5
1.575;218;NaN;290;20.9;0.025;2.4
1.6;220.2;85.86;307;20.9;0.025;2.2
1.625;222.1;75.97;322;20.8;0.025;1.9
1.65;224;71.54;338;20.8;0.025;1.9
1.675;225.7;67.07;353;20.8;0.025;1.7
1.7;227.3;NaN;368;20.8;0.025;1.6
1.725;228.9;NaN;383;20.8;0.025;1.6
1.75;230.4;NaN;398;20.7;0.025;1.5
1.775;231.7;NaN;414;20.7;0.025;1.3
1.8;233;NaN;429;20.7;0.025;1.3
