Date / Time;12/05/2023 09:54;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM1;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-45.5;NaN;0;20.6;NaN;NaN
1.3;204.7;NaN;58;20.6;1.3;250.2
1.325;208.2;NaN;274;20.4;0.025;3.5
1.35;211;NaN;289;20.4;0.025;2.8
1.375;213.6;NaN;304;20.4;0.025;2.6
1.4;216;94.4;320;20.4;0.025;2.4
1.425;218.1;82.07;335;20.4;0.025;2.1
1.45;220.1;76.9;350;20.4;0.025;2
1.475;222;71.47;366;20.4;0.025;1.9
1.5;223.7;67.07;381;20.4;0.025;1.7
1.525;225.3;63.37;396;20.4;0.025;1.6
1.55;226.9;NaN;411;20.4;0.025;1.6
1.575;228.3;NaN;426;20.4;0.025;1.4
1.6;229.7;NaN;441;20.4;0.025;1.4
1.625;231;NaN;456;20.4;0.025;1.3
1.65;232.2;NaN;472;20.4;0.025;1.2
