Date / Time;12/05/2023 11:47;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE01d;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-61;NaN;0;21.7;NaN;NaN
1.5;210.6;NaN;53;21.4;1.5;271.6
1.525;213.3;NaN;269;20.8;0.025;2.7
1.55;215.9;NaN;284;20.8;0.025;2.6
1.575;218.2;NaN;299;20.7;0.025;2.3
1.6;220.3;83.48;314;20.7;0.025;2.1
1.625;222.2;74.67;329;20.7;0.025;1.9
1.65;224;69.23;344;20.7;0.025;1.8
1.675;225.7;65.29;360;20.7;0.025;1.7
1.7;227.3;NaN;375;20.7;0.025;1.6
1.725;228.8;NaN;390;20.6;0.025;1.5
1.75;230.2;NaN;405;20.6;0.025;1.4
1.775;231.6;NaN;420;20.6;0.025;1.4
1.8;232.9;NaN;436;20.6;0.025;1.3
