Date / Time;12/05/2023 14:01;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE5c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-63.9;NaN;0;22.5;NaN;NaN
1.5;211.7;NaN;44;22.1;1.5;275.6
1.525;214.4;NaN;262;21;0.025;2.7
1.55;216.8;NaN;277;21;0.025;2.4
1.575;219;NaN;293;21;0.025;2.2
1.6;221.2;82.32;308;20.9;0.025;2.2
1.625;223.1;75.07;324;20.9;0.025;1.9
1.65;224.9;69.7;339;20.8;0.025;1.8
1.675;226.6;NaN;354;20.8;0.025;1.7
1.7;228.2;NaN;369;20.8;0.025;1.6
1.725;229.6;NaN;384;20.8;0.025;1.4
1.75;231;NaN;399;20.7;0.025;1.4
1.775;232.4;NaN;415;20.7;0.025;1.4
