Date / Time;12/05/2023 13:31;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-61.8;NaN;0;22.1;NaN;NaN
1.5;214.1;NaN;52;21.8;1.5;275.9
1.525;216.6;NaN;268;20.9;0.025;2.5
1.55;218.8;NaN;283;20.9;0.025;2.2
1.575;220.9;NaN;298;20.9;0.025;2.1
1.6;222.9;77.14;313;20.8;0.025;2
1.625;224.7;70.89;328;20.8;0.025;1.8
1.65;226.4;NaN;343;20.8;0.025;1.7
1.675;228.1;NaN;359;20.8;0.025;1.7
1.7;229.5;NaN;374;20.8;0.025;1.4
1.725;231;NaN;389;20.7;0.025;1.5
1.75;232.3;NaN;404;20.7;0.025;1.3
