Date / Time;13/05/2023 13:45;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-54.1;NaN;0;21.9;NaN;NaN
1.5;198.6;NaN;53;21.5;1.5;252.7
1.525;202.5;NaN;269;20.8;0.025;3.9
1.55;206.1;NaN;288;20.8;0.025;3.6
1.575;209;NaN;304;20.8;0.025;2.9
1.6;211.9;111.28;319;20.7;0.025;2.9
1.625;214.5;96.92;334;20.7;0.025;2.6
1.65;216.6;88.49;349;20.7;0.025;2.1
1.675;218.9;82.37;364;20.7;0.025;2.3
1.7;220.9;75.8;379;20.7;0.025;2
1.725;222.7;71.25;394;20.7;0.025;1.8
1.75;224.3;67.03;410;20.7;0.025;1.6
1.775;226.1;62.09;425;20.6;0.025;1.8
1.8;227.5;NaN;440;20.6;0.025;1.4
1.825;229;NaN;455;20.6;0.025;1.5
1.85;230.3;NaN;470;20.6;0.025;1.3
1.875;231.5;NaN;486;20.6;0.025;1.2
1.9;232.7;NaN;501;20.6;0.025;1.2
