Date / Time;13/05/2023 13:55;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-55.5;NaN;0;21.9;NaN;NaN
1.5;197.9;NaN;51;21.5;1.5;253.4
1.525;201.9;NaN;267;20.8;0.025;4
1.55;205.5;NaN;282;20.8;0.025;3.6
1.575;208.7;NaN;297;20.8;0.025;3.2
1.6;211.5;113.23;313;20.8;0.025;2.8
1.625;214.1;97.52;328;20.7;0.025;2.6
1.65;216.3;89.09;344;20.7;0.025;2.2
1.675;218.5;82.89;359;20.7;0.025;2.2
1.7;220.6;77.06;374;20.7;0.025;2.1
1.725;222.4;71.87;389;20.7;0.025;1.8
1.75;224.1;67.21;404;20.7;0.025;1.7
1.775;225.8;61.86;419;20.7;0.025;1.7
1.8;227.2;NaN;435;20.6;0.025;1.4
1.825;228.7;NaN;450;20.6;0.025;1.5
1.85;230;NaN;465;20.6;0.025;1.3
1.875;231.2;NaN;480;20.6;0.025;1.2
1.9;232.5;NaN;495;20.6;0.025;1.3
