Date / Time;13/05/2023 12:33;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM2;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-46.4;NaN;0;22.4;NaN;NaN
1.3;208.4;NaN;42;22;1.3;254.8
1.325;211.1;NaN;258;20.9;0.025;2.7
1.35;213.7;NaN;275;20.9;0.025;2.6
1.375;216.2;NaN;290;20.8;0.025;2.5
1.4;218.3;86.24;305;20.8;0.025;2.1
1.425;220.3;78.34;320;20.8;0.025;2
1.45;222.3;71.67;337;20.8;0.025;2
1.475;224;66.44;352;20.7;0.025;1.7
1.5;225.6;62.52;367;20.7;0.025;1.6
1.525;227;NaN;382;20.7;0.025;1.4
1.55;228.5;NaN;398;20.7;0.025;1.5
1.575;229.9;NaN;413;20.7;0.025;1.4
1.6;231.2;NaN;428;20.7;0.025;1.3
1.625;232.4;NaN;443;20.7;0.025;1.2
