Date / Time;12/05/2023 16:32;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-57.7;NaN;0;21.4;NaN;NaN
1.5;205.1;NaN;46;21.3;1.5;262.8
1.525;208.5;NaN;262;20.8;0.025;3.4
1.55;211.6;NaN;277;20.8;0.025;3.1
1.575;214.5;NaN;292;20.8;0.025;2.9
1.6;216.9;99.81;307;20.8;0.025;2.4
1.625;219.2;87.24;322;20.8;0.025;2.3
1.65;221.3;80.2;337;20.8;0.025;2.1
1.675;223.2;74.6;353;20.8;0.025;1.9
1.7;225;70.16;368;20.7;0.025;1.8
1.725;226.8;NaN;383;20.7;0.025;1.8
1.75;228.3;NaN;398;20.7;0.025;1.5
1.775;229.8;NaN;413;20.7;0.025;1.5
1.8;231.2;NaN;428;20.7;0.025;1.4
1.825;232.5;NaN;444;20.7;0.025;1.3
