Date / Time;13/05/2023 13:11;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-62.9;NaN;0;21.5;NaN;NaN
1.5;210.9;NaN;52;21.3;1.5;273.8
1.525;213.6;NaN;269;20.8;0.025;2.7
1.55;216.1;NaN;286;20.7;0.025;2.5
1.575;218.3;NaN;301;20.7;0.025;2.2
1.6;220.4;80.69;317;20.7;0.025;2.1
1.625;222.2;71.41;332;20.7;0.025;1.8
1.65;223.9;66.2;347;20.7;0.025;1.7
1.675;225.5;62.95;363;20.7;0.025;1.6
1.7;227.1;NaN;379;20.7;0.025;1.6
1.725;228.5;NaN;394;20.6;0.025;1.4
1.75;229.9;NaN;410;20.6;0.025;1.4
1.775;231.3;NaN;425;20.6;0.025;1.4
1.8;232.4;NaN;440;20.6;0.025;1.1
