Date / Time;24/05/2023 13:45;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;33.3;NaN;0;20.7;NaN;NaN
1.5;204.3;NaN;40;20.3;1.5;171
1.525;207.2;NaN;257;19.2;0.025;2.9
1.55;210;NaN;272;19.1;0.025;2.8
1.575;212.6;NaN;287;19.1;0.025;2.6
1.6;214.9;91.62;302;19.1;0.025;2.3
1.625;217;81.87;317;19;0.025;2.1
1.65;219;75.46;332;19;0.025;2
1.675;220.8;70.68;348;19;0.025;1.8
1.7;222.5;66.27;363;19;0.025;1.7
1.725;224.1;62.55;378;18.9;0.025;1.6
1.75;225.7;59.38;393;18.9;0.025;1.6
1.775;227.1;NaN;408;18.9;0.025;1.4
1.8;228.4;NaN;423;18.9;0.025;1.3
1.825;229.8;NaN;439;18.9;0.025;1.4
1.85;231;NaN;454;18.9;0.025;1.2
1.875;232.1;NaN;469;18.8;0.025;1.1
