Date / Time;24/05/2023 09:55;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM2;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-28.8;NaN;0;20.1;NaN;NaN
1.3;213.4;NaN;60;19.7;1.3;242.2
1.325;215.9;NaN;276;18.9;0.025;2.5
1.35;218;NaN;291;18.9;0.025;2.1
1.375;220.1;NaN;307;18.8;0.025;2.1
1.4;222.1;75.43;326;18.8;0.025;2
1.425;223.8;69.14;342;18.8;0.025;1.7
1.45;225.5;64.76;357;18.8;0.025;1.7
1.475;227;NaN;372;18.8;0.025;1.5
1.5;228.5;NaN;387;18.7;0.025;1.5
1.525;230;NaN;402;18.7;0.025;1.5
1.55;231.1;NaN;417;18.7;0.025;1.1
1.575;232.4;NaN;432;18.7;0.025;1.3
