Date / Time;24/05/2023 15:23;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;2;NaN;0;19;NaN;NaN
1.5;202.4;NaN;49;19;1.5;200.4
1.525;205.8;NaN;265;18.8;0.025;3.4
1.55;208.7;NaN;280;18.8;0.025;2.9
1.575;211.4;NaN;295;18.8;0.025;2.7
1.6;213.8;95.98;313;18.8;0.025;2.4
1.625;216;83.58;328;18.8;0.025;2.2
1.65;218;77.41;344;18.8;0.025;2
1.675;219.8;72.03;359;18.8;0.025;1.8
1.7;221.6;67.93;374;18.8;0.025;1.8
1.725;223.3;64.33;389;18.8;0.025;1.7
1.75;224.8;60.74;404;18.8;0.025;1.5
1.775;226.3;57.2;420;18.8;0.025;1.5
1.8;227.7;NaN;435;18.8;0.025;1.4
1.825;229;NaN;450;18.8;0.025;1.3
1.85;230.2;NaN;465;18.8;0.025;1.2
1.875;231.4;NaN;480;18.8;0.025;1.2
1.9;232.5;NaN;495;18.8;0.025;1.1
