Date / Time;24/05/2023 16:14;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE6c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-0.9;NaN;0;18.9;NaN;NaN
1.5;200.5;NaN;41;19;1.5;201.4
1.525;204.4;NaN;257;18.8;0.025;3.9
1.55;207.5;NaN;272;18.8;0.025;3.1
1.575;210.3;NaN;287;18.8;0.025;2.8
1.6;212.8;101.48;302;18.8;0.025;2.5
1.625;215.1;86.23;317;18.8;0.025;2.3
1.65;217.2;80.2;332;18.8;0.025;2.1
1.675;219.1;74.44;348;18.8;0.025;1.9
1.7;220.9;69.7;363;18.8;0.025;1.8
1.725;222.6;65.53;378;18.8;0.025;1.7
1.75;224.2;61.53;393;18.8;0.025;1.6
1.775;225.7;57.76;408;18.8;0.025;1.5
1.8;227.1;53.7;423;18.8;0.025;1.4
1.825;228.4;NaN;439;18.8;0.025;1.3
1.85;229.6;NaN;454;18.8;0.025;1.2
1.875;230.8;NaN;469;18.8;0.025;1.2
1.9;231.9;NaN;484;18.8;0.025;1.1
1.925;233.1;NaN;499;18.8;0.025;1.2
