Date / Time;24/05/2023 16:51;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-56.4;NaN;0;19.2;NaN;NaN
1.5;207.2;NaN;55;19.2;1.5;263.6
1.525;210.6;NaN;271;18.9;0.025;3.4
1.55;213;NaN;286;18.9;0.025;2.4
1.575;215.3;NaN;301;18.9;0.025;2.3
1.6;217.4;84.32;316;18.9;0.025;2.1
1.625;219.3;72.24;331;18.9;0.025;1.9
1.65;221.1;68.9;346;18.9;0.025;1.8
1.675;222.7;64.5;362;18.9;0.025;1.6
1.7;224.3;60.5;377;18.9;0.025;1.6
1.725;225.8;57.35;392;18.9;0.025;1.5
1.75;227.2;NaN;407;18.8;0.025;1.4
1.775;228.5;NaN;422;18.8;0.025;1.3
1.8;229.7;NaN;438;18.8;0.025;1.2
1.825;231;NaN;453;18.8;0.025;1.3
1.85;232.1;NaN;468;18.8;0.025;1.1
