Date / Time;24/05/2023 17:53;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK1c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-52.2;NaN;0;18.8;NaN;NaN
1.5;211.2;NaN;50;18.9;1.5;263.4
1.525;213.9;NaN;266;18.8;0.025;2.7
1.55;216.1;NaN;281;18.8;0.025;2.2
1.575;218.1;NaN;296;18.8;0.025;2
1.6;220;75.27;311;18.8;0.025;1.9
1.625;221.7;67;326;18.8;0.025;1.7
1.65;223.4;63.94;341;18.8;0.025;1.7
1.675;224.9;60.1;357;18.8;0.025;1.5
1.7;226.4;56.96;372;18.8;0.025;1.5
1.725;227.8;NaN;387;18.8;0.025;1.4
1.75;229.1;NaN;402;18.8;0.025;1.3
1.775;230.3;NaN;417;18.8;0.025;1.2
1.8;231.6;NaN;432;18.8;0.025;1.3
1.825;232.7;NaN;448;18.8;0.025;1.1
