Date / Time;25/05/2023 15:49;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1B;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-28.1;NaN;0;18.8;NaN;NaN
1.5;215.3;NaN;52;18.9;1.5;243.4
1.525;217.9;NaN;269;18.8;0.025;2.6
1.55;219.8;NaN;286;18.8;0.025;1.9
1.575;221.8;NaN;302;18.8;0.025;2
1.6;223.4;69.45;317;18.8;0.025;1.6
1.625;225;61.59;332;18.8;0.025;1.6
1.65;226.6;58.94;347;18.8;0.025;1.6
1.675;228;NaN;362;18.8;0.025;1.4
1.7;229.4;NaN;377;18.8;0.025;1.4
1.725;230.6;NaN;392;18.8;0.025;1.2
1.75;231.9;NaN;408;18.8;0.025;1.3
1.775;233.1;NaN;423;18.8;0.025;1.2
