Date / Time;24/05/2023 19:52;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE1c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-52.9;NaN;0;20.5;NaN;NaN
1.5;216;NaN;45;20.2;1.5;268.9
1.525;218;NaN;262;19.3;0.025;2
1.55;220;NaN;277;19.3;0.025;2
1.575;221.7;NaN;292;19.2;0.025;1.7
1.6;223.4;66.2;308;19.2;0.025;1.7
1.625;225;61.76;323;19.2;0.025;1.6
1.65;226.5;58.1;338;19.1;0.025;1.5
1.675;227.9;NaN;353;19.1;0.025;1.4
1.7;229.3;NaN;368;19.1;0.025;1.4
1.725;230.5;NaN;383;19.1;0.025;1.2
1.75;231.7;NaN;398;19;0.025;1.2
1.775;232.9;NaN;414;19;0.025;1.2
