Date / Time;25/05/2023 16:28;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM3C;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-20.4;NaN;0;18.2;NaN;NaN
1.3;201.5;NaN;74;18.5;1.3;221.9
1.325;205.4;NaN;290;18.7;0.025;3.9
1.35;208.4;NaN;305;18.7;0.025;3
1.375;211.1;NaN;326;18.7;0.025;2.7
1.4;213.4;97.46;345;18.7;0.025;2.3
1.425;215.6;81.54;361;18.7;0.025;2.2
1.45;217.6;76.81;376;18.7;0.025;2
1.475;219.5;72.29;397;18.8;0.025;1.9
1.5;221.2;68.1;412;18.8;0.025;1.7
1.525;222.8;63.53;427;18.8;0.025;1.6
1.55;224.5;59.75;442;18.8;0.025;1.7
1.575;225.9;56.51;457;18.8;0.025;1.4
1.6;227.2;NaN;472;18.8;0.025;1.3
1.625;228.5;NaN;488;18.8;0.025;1.3
1.65;229.8;NaN;503;18.8;0.025;1.3
1.675;231;NaN;518;18.8;0.025;1.2
1.7;232.1;NaN;533;18.8;0.025;1.1
