Date / Time;25/05/2023 18:29;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-38.7;NaN;0;21.2;NaN;NaN
1.3;172.9;NaN;62;20.6;1.3;211.6
1.325;180.3;NaN;290;19.4;0.025;7.4
1.35;187.3;NaN;313;19.3;0.025;7
1.375;193.4;NaN;341;19.2;0.025;6.1
1.4;198.2;195.11;367;19.2;0.025;4.8
1.425;202.1;152.44;384;19.1;0.025;3.9
1.45;205.6;129.98;400;19.1;0.025;3.5
1.475;208.7;115.26;416;19.1;0.025;3.1
1.5;211.5;105.36;433;19.1;0.025;2.8
1.525;214;96.6;450;19.1;0.025;2.5
1.55;216.4;87.97;465;19;0.025;2.4
1.575;218.4;80.59;480;19;0.025;2
1.6;220.4;74.28;496;19;0.025;2
1.625;222.2;68.82;511;19;0.025;1.8
1.65;223.8;64.44;526;19;0.025;1.6
1.675;225.4;61.6;541;19;0.025;1.6
1.7;226.9;NaN;556;18.9;0.025;1.5
1.725;228.3;NaN;571;18.9;0.025;1.4
1.75;229.7;NaN;586;18.9;0.025;1.4
1.775;231;NaN;602;18.9;0.025;1.3
1.8;232.1;NaN;617;18.9;0.025;1.1
