Date / Time;25/05/2023 18:45;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANK2c;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-45.3;NaN;0;21.5;NaN;NaN
1.3;151.4;NaN;62;20.8;1.3;196.7
1.325;160;NaN;302;19.4;0.025;8.6
1.35;170.4;NaN;331;19.4;0.025;10.4
1.375;179.7;NaN;370;19.3;0.025;9.3
1.4;186.5;272.43;401;19.2;0.025;6.8
1.425;191.7;215.9;419;19.2;0.025;5.2
1.45;196.8;171.66;440;19.1;0.025;5.1
1.475;200.6;146.74;457;19.1;0.025;3.8
1.5;204.1;131.3;479;19.1;0.025;3.5
1.525;207.3;117.22;500;19;0.025;3.2
1.55;210.1;103.82;515;19;0.025;2.8
1.575;212.5;94.93;530;19;0.025;2.4
1.6;214.8;85.97;547;19;0.025;2.3
1.625;216.9;79.33;562;19;0.025;2.1
1.65;218.7;74.68;578;19;0.025;1.8
1.675;220.6;69.93;593;19;0.025;1.9
1.7;222.3;65.51;608;19;0.025;1.7
1.725;223.9;61.56;623;18.9;0.025;1.6
1.75;225.4;57.53;638;18.9;0.025;1.5
1.775;226.7;53.93;654;18.9;0.025;1.3
1.8;228.1;NaN;669;18.9;0.025;1.4
1.825;229.3;NaN;684;18.9;0.025;1.2
1.85;230.5;NaN;699;18.9;0.025;1.2
1.875;231.7;NaN;714;18.9;0.025;1.2
1.9;232.7;NaN;729;18.9;0.025;1
