Date / Time;26/05/2023 13:34;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;BLANKTILE2d;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-48.4;NaN;0;20.9;NaN;NaN
1.500;214.2;NaN;58;20.4;1.500;262.6
1.525;216.2;NaN;274;19.4;0.025;2.0
1.550;218.3;NaN;289;19.3;0.025;2.1
1.575;220.3;NaN;304;19.3;0.025;2.0
1.600;222.1;70.77;319;19.3;0.025;1.8
1.625;223.8;66.01;334;19.2;0.025;1.7
1.650;225.3;61.71;350;19.2;0.025;1.5
1.675;226.8;NaN;365;19.2;0.025;1.5
1.700;228.3;NaN;380;19.1;0.025;1.5
1.725;229.7;NaN;395;19.1;0.025;1.4
1.750;230.9;NaN;410;19.1;0.025;1.2
1.775;232.1;NaN;426;19.1;0.025;1.2
