Date / Time;26/05/2023 13:44;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE5d;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-54.8;NaN;0;20.1;NaN;NaN
1.500;217.1;NaN;62;19.9;1.500;271.9
1.525;219.1;NaN;278;19.2;0.025;2.0
1.550;221.0;NaN;293;19.2;0.025;1.9
1.575;222.7;NaN;308;19.2;0.025;1.7
1.600;224.4;64.53;323;19.2;0.025;1.7
1.625;225.9;59.76;338;19.1;0.025;1.5
1.650;227.4;NaN;353;19.1;0.025;1.5
1.675;228.7;NaN;369;19.1;0.025;1.3
1.700;230.0;NaN;384;19.1;0.025;1.3
1.725;231.3;NaN;399;19.1;0.025;1.3
1.750;232.4;NaN;414;19.1;0.025;1.1
