Date / Time;26/05/2023 14:06;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE5e;;;;;
Sample size;50;mL;;;;
Density;1.0;g/mL;;;;
Correction factor;1.0;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0.000;-62.7;NaN;0;19.3;NaN;NaN
1.500;216.8;NaN;62;19.3;1.500;279.5
1.525;219.2;NaN;279;19.0;0.025;2.4
1.550;221.0;NaN;295;19.0;0.025;1.8
1.575;222.8;NaN;310;19.0;0.025;1.8
1.600;224.5;65.94;325;19.0;0.025;1.7
1.625;226.0;59.17;340;19.0;0.025;1.5
1.650;227.4;NaN;356;19.0;0.025;1.4
1.675;228.9;NaN;371;19.0;0.025;1.5
1.700;230.1;NaN;386;19.0;0.025;1.2
1.725;231.4;NaN;401;19.0;0.025;1.3
1.750;232.6;NaN;416;18.9;0.025;1.2
