Date / Time;30/05/2023 15:28;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;T2D;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;36.2;NaN;0;22.3;NaN;NaN
1.5;199.1;NaN;46;21.5;1.5;162.9
1.525;202;NaN;264;19.6;0.025;2.9
1.55;205.3;NaN;279;19.5;0.025;3.3
1.575;208.1;NaN;297;19.5;0.025;2.8
1.6;210.6;100.95;316;19.4;0.025;2.5
1.625;213.1;91.2;335;19.3;0.025;2.5
1.65;215.1;82.93;350;19.3;0.025;2
1.675;217.1;77.31;366;19.3;0.025;2
1.7;219.1;71.9;382;19.2;0.025;2
1.725;220.8;67.48;397;19.2;0.025;1.7
1.75;222.4;63.79;412;19.2;0.025;1.6
1.775;223.9;59.12;427;19.1;0.025;1.5
1.8;225.4;55.53;442;19.1;0.025;1.5
1.825;226.8;52.74;458;19.1;0.025;1.4
1.85;228;NaN;473;19.1;0.025;1.2
1.875;229.2;NaN;488;19.1;0.025;1.2
1.9;230.4;NaN;503;19;0.025;1.2
1.925;231.5;NaN;518;19;0.025;1.1
1.95;232.6;NaN;534;19;0.025;1.1
