Date / Time;30/05/2023 15:58;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;T2E;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;29.7;NaN;0;22.1;NaN;NaN
1.5;211.4;NaN;44;21.4;1.5;181.7
1.525;213.5;NaN;260;19.5;0.025;2.1
1.55;215.7;NaN;275;19.4;0.025;2.2
1.575;217.8;NaN;295;19.4;0.025;2.1
1.6;219.7;74.71;312;19.3;0.025;1.9
1.625;221.5;69.84;327;19.3;0.025;1.8
1.65;223.1;64.91;342;19.2;0.025;1.6
1.675;224.7;61.12;357;19.2;0.025;1.6
1.7;226.2;57.99;373;19.2;0.025;1.5
1.725;227.7;NaN;388;19.1;0.025;1.5
1.75;228.9;NaN;403;19.1;0.025;1.2
1.775;230.2;NaN;418;19.1;0.025;1.3
1.8;231.4;NaN;434;19.1;0.025;1.2
1.825;232.5;NaN;449;19;0.025;1.1
