Site Name ,VILLA-DOHRN
Site Number ,5
Logger ,Integrating Light Sensor
Logger Serial Number ,13348


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,08/05/2023 , 09:05:00,0,0
2,08/05/2023 , 09:10:00,0,0
3,08/05/2023 , 09:15:00,0,0
4,08/05/2023 , 09:20:00,0,0
5,08/05/2023 , 09:25:00,0,0
6,08/05/2023 , 09:30:00,0,0
7,08/05/2023 , 09:35:00,0,0
8,08/05/2023 , 09:40:00,0,0
9,08/05/2023 , 09:45:00,0,0
10,08/05/2023 , 09:50:00,0,0
11,08/05/2023 , 09:55:00,0,0
12,08/05/2023 , 10:00:00,0,0
13,08/05/2023 , 10:05:00,0,0
14,08/05/2023 , 10:10:00,186,10.1
15,08/05/2023 , 10:15:00,209,11.4
16,08/05/2023 , 10:20:00,178,9.7
17,08/05/2023 , 10:25:00,96,5.2
18,08/05/2023 , 10:30:00,69,3.8
19,08/05/2023 , 10:35:00,122,6.6
20,08/05/2023 , 10:40:00,64,3.5
21,08/05/2023 , 10:45:00,72,3.9
22,08/05/2023 , 10:50:00,80,4.4
23,08/05/2023 , 10:55:00,83,4.5
24,08/05/2023 , 11:00:00,98,5.3
25,08/05/2023 , 11:05:00,119,6.5
26,08/05/2023 , 11:10:00,150,8.2
27,08/05/2023 , 11:15:00,164,8.9
28,08/05/2023 , 11:20:00,192,10.4
29,08/05/2023 , 11:25:00,210,11.4
30,08/05/2023 , 11:30:00,224,12.2
31,08/05/2023 , 11:35:00,217,11.8
32,08/05/2023 , 11:40:00,201,10.9
33,08/05/2023 , 11:45:00,192,10.4
34,08/05/2023 , 11:50:00,170,9.2
35,08/05/2023 , 11:55:00,136,7.4
36,08/05/2023 , 12:00:00,131,7.1
37,08/05/2023 , 12:05:00,139,7.6
38,08/05/2023 , 12:10:00,163,8.9
39,08/05/2023 , 12:15:00,152,8.3
40,08/05/2023 , 12:20:00,147,8
41,08/05/2023 , 12:25:00,155,8.4
42,08/05/2023 , 12:30:00,174,9.5
43,08/05/2023 , 12:35:00,209,11.4
44,08/05/2023 , 12:40:00,200,10.9
45,08/05/2023 , 12:45:00,230,12.5
46,08/05/2023 , 12:50:00,268,14.6
47,08/05/2023 , 12:55:00,270,14.7
48,08/05/2023 , 13:00:00,259,14.1
49,08/05/2023 , 13:05:00,247,13.4
50,08/05/2023 , 13:10:00,240,13.1
51,08/05/2023 , 13:15:00,408,22.2
52,08/05/2023 , 13:20:00,961,52.3
53,08/05/2023 , 13:25:00,811,44.1
54,08/05/2023 , 13:30:00,770,41.9
55,08/05/2023 , 13:35:00,572,31.1
56,08/05/2023 , 13:40:00,583,31.7
57,08/05/2023 , 13:45:00,465,25.3
58,08/05/2023 , 13:50:00,475,25.8
59,08/05/2023 , 13:55:00,573,31.2
60,08/05/2023 , 14:00:00,532,28.9
61,08/05/2023 , 14:05:00,570,31
62,08/05/2023 , 14:10:00,215,11.7
63,08/05/2023 , 14:15:00,227,12.3
64,08/05/2023 , 14:20:00,206,11.2
65,08/05/2023 , 14:25:00,200,10.9
66,08/05/2023 , 14:30:00,237,12.9
67,08/05/2023 , 14:35:00,284,15.4
68,08/05/2023 , 14:40:00,335,18.2
69,08/05/2023 , 14:45:00,294,16
70,08/05/2023 , 14:50:00,72,3.9
71,08/05/2023 , 14:55:00,1,0.1
72,08/05/2023 , 15:00:00,2,0.1
73,08/05/2023 , 15:05:00,1,0.1
74,08/05/2023 , 15:10:00,2,0.1
75,08/05/2023 , 15:15:00,6,0.3
76,08/05/2023 , 15:20:00,2,0.1
77,08/05/2023 , 15:25:00,8,0.4
78,08/05/2023 , 15:30:00,6,0.3
79,08/05/2023 , 15:35:00,6,0.3
80,08/05/2023 , 15:40:00,7,0.4
81,08/05/2023 , 15:45:00,2,0.1
82,08/05/2023 , 15:50:00,0,0
83,08/05/2023 , 15:55:00,0,0
84,08/05/2023 , 16:00:00,0,0
85,08/05/2023 , 16:05:00,0,0
86,08/05/2023 , 16:10:00,1,0.1
87,08/05/2023 , 16:15:00,0,0
88,08/05/2023 , 16:20:00,0,0
89,08/05/2023 , 16:25:00,2,0.1
90,08/05/2023 , 16:30:00,0,0
91,08/05/2023 , 16:35:00,0,0
92,08/05/2023 , 16:40:00,0,0
93,08/05/2023 , 16:45:00,0,0
94,08/05/2023 , 16:50:00,0,0
95,08/05/2023 , 16:55:00,0,0
96,08/05/2023 , 17:00:00,0,0
97,08/05/2023 , 17:05:00,0,0
98,08/05/2023 , 17:10:00,0,0
99,08/05/2023 , 17:15:00,0,0
100,08/05/2023 , 17:20:00,0,0
101,08/05/2023 , 17:25:00,0,0
102,08/05/2023 , 17:30:00,0,0
103,08/05/2023 , 17:35:00,0,0
104,08/05/2023 , 17:40:00,0,0
105,08/05/2023 , 17:45:00,0,0
