Site Name ,VILLA-DOHRN
Site Number ,5
Logger ,Integrating Light Sensor
Logger Serial Number ,13348


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,10/05/2023 , 10:05:00,0,0
2,10/05/2023 , 10:10:00,0,0
3,10/05/2023 , 10:15:00,0,0
4,10/05/2023 , 10:20:00,0,0
5,10/05/2023 , 10:25:00,0,0
6,10/05/2023 , 10:30:00,0,0
7,10/05/2023 , 10:35:00,0,0
8,10/05/2023 , 10:40:00,0,0
9,10/05/2023 , 10:45:00,0,0
10,10/05/2023 , 10:50:00,65,3.5
11,10/05/2023 , 10:55:00,609,33.1
12,10/05/2023 , 11:00:00,479,26.1
13,10/05/2023 , 11:05:00,343,18.7
14,10/05/2023 , 11:10:00,502,27.3
15,10/05/2023 , 11:15:00,554,30.1
16,10/05/2023 , 11:20:00,534,29
17,10/05/2023 , 11:25:00,1018,55.4
18,10/05/2023 , 11:30:00,1140,62
19,10/05/2023 , 11:35:00,445,24.2
20,10/05/2023 , 11:40:00,815,44.3
21,10/05/2023 , 11:45:00,266,14.5
22,10/05/2023 , 11:50:00,300,16.3
23,10/05/2023 , 11:55:00,476,25.9
24,10/05/2023 , 12:00:00,359,19.5
25,10/05/2023 , 12:05:00,358,19.5
26,10/05/2023 , 12:10:00,263,14.3
27,10/05/2023 , 12:15:00,568,30.9
28,10/05/2023 , 12:20:00,560,30.5
29,10/05/2023 , 12:25:00,349,19
30,10/05/2023 , 12:30:00,282,15.3
31,10/05/2023 , 12:35:00,414,22.5
32,10/05/2023 , 12:40:00,515,28
33,10/05/2023 , 12:45:00,594,32.3
34,10/05/2023 , 12:50:00,548,29.8
35,10/05/2023 , 12:55:00,746,40.6
36,10/05/2023 , 13:00:00,1079,58.7
37,10/05/2023 , 13:05:00,1089,59.2
38,10/05/2023 , 13:10:00,1185,64.5
39,10/05/2023 , 13:15:00,1301,70.8
40,10/05/2023 , 13:20:00,1205,65.5
41,10/05/2023 , 13:25:00,1242,67.6
42,10/05/2023 , 13:30:00,1258,68.4
43,10/05/2023 , 13:35:00,1583,86.1
44,10/05/2023 , 13:40:00,2585,140.6
45,10/05/2023 , 13:45:00,2641,143.7
46,10/05/2023 , 13:50:00,2326,126.5
47,10/05/2023 , 13:55:00,2301,125.2
48,10/05/2023 , 14:00:00,2357,128.2
49,10/05/2023 , 14:05:00,688,37.4
50,10/05/2023 , 14:10:00,3,0.2
51,10/05/2023 , 14:15:00,2,0.1
52,10/05/2023 , 14:20:00,3,0.2
53,10/05/2023 , 14:25:00,5,0.3
54,10/05/2023 , 14:30:00,3,0.2
55,10/05/2023 , 14:35:00,5,0.3
56,10/05/2023 , 14:40:00,6,0.3
57,10/05/2023 , 14:45:00,13,0.7
58,10/05/2023 , 14:50:00,5,0.3
59,10/05/2023 , 14:55:00,2,0.1
60,10/05/2023 , 15:00:00,1,0.1
61,10/05/2023 , 15:05:00,0,0
62,10/05/2023 , 15:10:00,0,0
63,10/05/2023 , 15:15:00,2,0.1
64,10/05/2023 , 15:20:00,3,0.2
65,10/05/2023 , 15:25:00,2,0.1
66,10/05/2023 , 15:30:00,0,0
67,10/05/2023 , 15:35:00,0,0
68,10/05/2023 , 15:40:00,0,0
69,10/05/2023 , 15:45:00,0,0
70,10/05/2023 , 15:50:00,0,0
71,10/05/2023 , 15:55:00,0,0
72,10/05/2023 , 16:00:00,0,0
73,10/05/2023 , 16:05:00,0,0
74,10/05/2023 , 16:10:00,0,0
75,10/05/2023 , 16:15:00,0,0
76,10/05/2023 , 16:20:00,0,0
77,10/05/2023 , 16:25:00,0,0
78,10/05/2023 , 16:30:00,0,0
79,10/05/2023 , 16:35:00,0,0
80,10/05/2023 , 16:40:00,0,0
81,10/05/2023 , 16:45:00,0,0
82,10/05/2023 , 16:50:00,0,0
83,10/05/2023 , 16:55:00,0,0
84,10/05/2023 , 17:00:00,0,0
85,10/05/2023 , 17:05:00,0,0
86,10/05/2023 , 17:10:00,0,0
87,10/05/2023 , 17:15:00,0,0
88,10/05/2023 , 17:20:00,0,0
89,10/05/2023 , 17:25:00,0,0
90,10/05/2023 , 17:30:00,0,0
91,10/05/2023 , 17:35:00,0,0
92,10/05/2023 , 17:40:00,0,0
93,10/05/2023 , 17:45:00,0,0
94,10/05/2023 , 17:50:00,0,0
95,10/05/2023 , 17:55:00,0,0
96,10/05/2023 , 18:00:00,0,0
97,10/05/2023 , 18:05:00,0,0
98,10/05/2023 , 18:10:00,0,0
99,10/05/2023 , 18:15:00,0,0
100,10/05/2023 , 18:20:00,0,0
101,10/05/2023 , 18:25:00,0,0
102,10/05/2023 , 18:30:00,0,0
103,10/05/2023 , 18:35:00,0,0
104,10/05/2023 , 18:40:00,0,0
105,10/05/2023 , 18:45:00,0,0
106,10/05/2023 , 18:50:00,0,0
