Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1683708720,+3.52,+19.654, +9.393,+0.965
1683708780,+3.52,+19.528, +9.577,+0.966
1683708840,+3.52,+19.452, +9.649,+0.966
1683708900,+3.52,+19.377, +9.689,+0.966
1683708960,+3.52,+19.343, +9.707,+0.966
1683709020,+3.52,+19.293, +9.737,+0.966
1683709080,+3.52,+19.268, +9.746,+0.966
1683709140,+3.52,+19.234, +9.758,+0.966
1683709200,+3.52,+19.217, +9.747,+0.966
1683709260,+3.52,+19.184, +9.770,+0.967
1683709320,+3.52,+19.175, +9.752,+0.966
1683709380,+3.52,+19.167, +9.750,+0.966
1683709440,+3.52,+19.159, +9.753,+0.966
1683709500,+3.52,+19.142, +9.754,+0.966
1683709560,+3.52,+19.125, +9.764,+0.967
1683709620,+3.52,+19.125, +9.748,+0.966
1683709680,+3.52,+19.117, +9.741,+0.966
1683709740,+3.52,+19.108, +9.755,+0.966
1683709800,+3.52,+19.117, +9.745,+0.966
1683709860,+3.52,+19.108, +9.749,+0.966
1683709920,+3.52,+19.117, +9.742,+0.966
1683709980,+3.52,+19.117, +9.740,+0.966
1683710040,+3.52,+19.108, +9.737,+0.966
1683710100,+3.52,+19.108, +9.749,+0.967
1683710160,+3.52,+19.117, +9.734,+0.966
1683710220,+3.52,+19.100, +9.735,+0.966
1683710280,+3.52,+19.117, +9.727,+0.966
1683710340,+3.52,+19.108, +9.725,+0.966
1683710400,+3.52,+19.108, +9.724,+0.966
1683710460,+3.52,+19.092, +9.725,+0.966
1683710520,+3.52,+19.108, +9.722,+0.966
1683710580,+3.52,+19.083, +9.728,+0.966
1683710640,+3.52,+19.117, +9.722,+0.966
1683710700,+3.52,+19.117, +9.721,+0.966
1683710760,+3.52,+19.117, +9.722,+0.966
1683710820,+3.52,+19.117, +9.729,+0.966
1683710880,+3.52,+19.142, +9.717,+0.966
1683710940,+3.52,+19.142, +9.725,+0.967
1683711000,+3.52,+19.125, +9.722,+0.966
1683711060,+3.52,+19.134, +9.709,+0.966
1683711120,+3.52,+19.142, +9.714,+0.966
1683711180,+3.52,+19.100, +9.719,+0.966
1683711240,+3.52,+19.108, +9.713,+0.966
1683711300,+3.52,+19.108, +9.720,+0.966
1683711360,+3.52,+19.125, +9.705,+0.966
1683711420,+3.52,+19.117, +9.712,+0.966
1683711480,+3.52,+19.117, +9.717,+0.966
1683711540,+3.52,+19.134, +9.708,+0.966
1683711600,+3.52,+19.134, +9.708,+0.966
1683711660,+3.52,+19.100, +9.713,+0.966
1683711720,+3.52,+19.100, +9.713,+0.966
1683711780,+3.52,+19.108, +9.706,+0.966
1683711840,+3.52,+19.100, +9.704,+0.966
1683711900,+3.52,+19.108, +9.695,+0.966
1683711960,+3.52,+19.092, +9.699,+0.966
1683712020,+3.52,+19.092, +9.702,+0.967
1683712080,+3.52,+19.092, +9.693,+0.966
1683712140,+3.52,+19.100, +9.680,+0.966
1683712200,+3.52,+19.092, +9.691,+0.966
1683712260,+3.52,+19.092, +9.685,+0.966
1683712320,+3.52,+19.075, +9.686,+0.966
1683712380,+3.52,+19.075, +9.672,+0.966
1683712440,+3.52,+19.075, +9.673,+0.966
1683712500,+3.52,+19.075, +9.669,+0.966
1683712560,+3.52,+19.066, +9.667,+0.966
1683712620,+3.52,+19.050, +9.676,+0.966
1683712680,+3.52,+19.058, +9.671,+0.966
1683712740,+3.52,+19.041, +9.659,+0.965
1683712800,+3.52,+19.050, +9.650,+0.965
1683712860,+3.52,+19.016, +9.671,+0.966
1683712920,+3.52,+19.024, +9.669,+0.966
1683712980,+3.52,+18.999, +9.675,+0.966
1683713040,+3.52,+19.024, +9.656,+0.966
1683713100,+3.52,+19.008, +9.662,+0.966
1683713160,+3.52,+18.999, +9.653,+0.966
1683713220,+3.52,+18.974, +9.657,+0.966
1683713280,+3.51,+18.999, +9.642,+0.966
1683713340,+3.52,+18.966, +9.648,+0.966
1683713400,+3.52,+18.966, +9.643,+0.966
1683713460,+3.51,+18.924, +9.648,+0.966
1683713520,+3.51,+18.924, +9.648,+0.966
1683713580,+3.51,+18.924, +9.646,+0.966
1683713640,+3.51,+18.915, +9.640,+0.966
1683713700,+3.51,+18.898, +9.646,+0.966
1683713760,+3.51,+18.915, +9.640,+0.966
1683713820,+3.51,+18.915, +9.637,+0.966
1683713880,+3.51,+18.882, +9.638,+0.966
1683713940,+3.51,+18.890, +9.638,+0.966
1683714000,+3.51,+18.882, +9.646,+0.966
1683714060,+3.51,+18.882, +9.633,+0.966
1683714120,+3.51,+18.865, +9.630,+0.965
1683714180,+3.51,+18.865, +9.618,+0.965
1683714240,+3.51,+18.873, +9.623,+0.966
